id,name,sales,decade,image_path
Steely Dan,Steely Dan,40,pre-2000,https://images2.imgbox.com/fe/c5/ZiN7eY6b_o.png
Beyonce,Beyonce,34,post-2000,https://images2.imgbox.com/3b/30/HWm4Gk7x_o.png
Madonna,Madonna,300,pre-2000,images/madonna.png
Adam Levine,Adam Levine,20,https://images2.imgbox.com/d2/48/2zzrbs3G_o.png
Hall and Oates,Hall and Oates,125,pre-2000,https://images2.imgbox.com/0c/14/F8MxxaFL_o.png
Nicki Minaj,Nicki Minaj,80,post-2000,https://images2.imgbox.com/25/a2/qtAXqRrb_o.png
Drake,Drake,10,post-2000,https://images2.imgbox.com/64/6b/kBxe6aG8_o.png
Justin Bieber,Justin Bieber,50,post-2000,https://images2.imgbox.com/f1/39/qfgmq9U5_o.png
Kesha,Kesha,60,post-2000,https://images2.imgbox.com/7c/d5/Csjwrrzy_o.png
The Eagles,The Eagles,150,pre-2000,https://images2.imgbox.com/55/db/NJsoAy78_o.png
The Cars,The Cars,23,pre-2000,https://images2.imgbox.com/c9/9b/rskG8jNb_o.png
Pat Benatar,Pat Benatar,25,pre-2000,https://images2.imgbox.com/55/7b/gxzhQjb0_o.png
Lady Gaga,Lady Gaga,27,post-2000,https://images2.imgbox.com/8d/49/lL7QjnUT_o.png
Tina Turner,Tina Turner,84,pre-2000,https://images2.imgbox.com/02/d5/OgJIiWVB_o.png
Fetty Wap,Fetty Wap,1,post-2000,https://images2.imgbox.com/ad/8f/9Yc6oLZM_o.png
